PO_ID,EXTERNAL_ID,ABIS_STOCK,CATALOG_NUMBER,ASIN,TITLE,LIST_PRICE,DISCOUNT,COST,SUBMITTED_QTY,FILL_QTY,CONFIRM_QTY,CANCEL_QTY,RCVD_QTY,ESD,EDD,ACK_STATE,PREV_ERROR,VEN_CODE,FC,CONDITION,PO_DATE,START_SHIP,END_SHIP,IS_BACKORDER,FREIGHT_TERM,PAY_TERMS,PO_SPEC_INSTR,PO_COMMENTS
Order/PO Number,External ID,Model Number,Catalogue Number,ASIN,Title,List Price,Discount,Cost,Quantity Ordered,Previously Confirmed Quantity,Quantity Confirmed,Quantity Canceled,Quantity Received,Expected Ship Date,Expected Delivery Date,Availability Status,Error From Previous Upload Attempt,Vendor Code,Fulfillment Center,Condition,Order Date,Earliest Ship,Latest Ship,Is Backorder,Freight Terms,Payment Method,Special Instructions,Comments
R7995180,0879061004780,,WTFDVDAK,B001ODP94O,Alaska (REGION 1) (NTSC),£24.95,35%,£16.22,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009990,,VPGDVD233,B001OLKWWK,Vista Point  ZANZIBAR ISLAND Tanzania (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009938,,VPGDVD227,B001OLLXQY,Vista Point  SALT LAKE CITY Utah (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009921,,VPGDVD226,B001OLLZBM,Vista Point  KUALA LUMPUR Malaysia (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009877,,VPGDVD221,B001OLM3PO,Vista Point  SALZKAMMERGUT Austria (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009976,,VPGDVD231,B001OLNWC2,Vista Point  VIENTIANE Laos (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009945,,VPGDVD228,B001OLO03M,Vista Point  DAMASCUS Syria (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009884,,VPGDVD222,B001OLO7QM,Vista Point  HAMBURG Germany (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009969,,VPGDVD230,B001OLPUK4,Vista Point  IRELAND (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009891,,VPGDVD223,B001OLQ5BM,Vista Point  AMMAN Jordan (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009983,,VPGDVD232,B001OLSE7U,Vista Point  DENVER Colorado (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009952,,VPGDVD229,B001OLSHZO,Vista Point  LAPLAND Finland (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009914,,VPGDVD225,B001OLTIAC,Vista Point  ROVANIEMI Finland (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009907,,VPGDVD224,B001OLTJAQ,Vista Point  PHNOM PENH Cambodia (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004216,,VPGDVD217,B001OLU3WO,Vista Point  WACHAU Austria (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004056,,VPGDVD201,B001OLUFWC,Vista Point  MALTA (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004131,,VPGDVD209,B001OLUQNU,Vista Point  SIEM REAP ANGKOR Cambodia (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009860,,VPGDVD220,B001OLV1YS,Vista Point  OSLO Norway (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004063,,VPGDVD202,B001OLVVDY,Vista Point  BANEPA VALLEY Nepal (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004117,,VPGDVD207,B001OLW0AW,Vista Point  CARINTHIA Austria (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004209,,VPGDVD216,B001OLW6G0,Vista Point  VALLETTA Malta (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009853,,VPGDVD219,B001OLX7KE,Vista Point  DUBLIN Ireland (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004223,,VPGDVD218,B001OLXB46,Vista Point  HELSINKI Finland (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004087,,VPGDVD204,B001OLXSNK,Vista Point  COSTA DEL SOL Spain (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004124,,VPGDVD208,B001OLXURE,Vista Point  CHIANG MAI Thailand (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004155,,VPGDVD211,B001OLXWBS,Vista Point  GRAZ Austria (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004162,,VPGDVD212,B001OLXXQ2,Vista Point  TAIPEI Taiwan (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004179,,VPGDVD213,B001OLXYVQ,Vista Point  ICELAND (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004049,,VPGDVD200,B001OLZRJI,Vista Point  RAJASTHAN India (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004094,,VPGDVD205,B001OLZY3W,Vista Point  REYKJAVIK Iceland (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004100,,VPGDVD206,B001OLZYIW,Vista Point  HÀ NÔI Vietnam (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004186,,VPGDVD214,B001OM04A4,Vista Point  KÓS Dodekanissa Greece (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004148,,VPGDVD210,B001OM3CFS,Vista Point  SÀI GÒN Ho Chi Minh City Vietnam (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004193,,VPGDVD215,B001OM3MXK,Vista Point  NORTH VIETNAM (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061005985,,VPGDVD151,B001ONFPC0,Vista Point THE GULF OF CALIFORNIA Mexico (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061008641,,VPGDVD157,B001ONFU9I,Vista Point  YUNNAN China (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061005978,,VPGDVD150,B001ONHRDA,Vista Point  MEKNES Morocco (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629488783,,GRKDVDKLU,B001PF73PO,Dive Travel  Key Largo and the Upper Keys A Diving Destination (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629489124,,MLDVD00830,B001PF73PY,Dubrovnik Pearl of the Adriatic Sea (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629515243,,CLPDVDCOSTA,B001PF73Q8,Costa Rica Royalty Free Stock Footage (REGION 1) (NTSC),£149.99,35%,£97.49,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597034,,DSPDVDDIVCOZ,B001PF73QI,Diving Cozumel Mexico Pearl of the Caribbean (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597041,,LSDVD106,B001PF73QS,Let's Shop  Istanbul Turkey (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597171,,GRKDVDBAY,B001PF73RC,"Dive Travel  The Bay Islands Roatan, Utila and Guanaja (REGION 1) (NTSC)",£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597188,,CLPDVDMUSIC,B001PF73RM,Musicians Around the World Royalty Free Stock Footage (REGION 1) (NTSC),£149.99,35%,£97.49,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597294,,TLTDVD3383,B001PF73RW,The Little Travelers  Japan (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597300,,TLTDVD8521,B001PF73S6,The Little Travelers  Bali (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597386,,LSDVD102,B001PF73SQ,Let's Shop  Shanghai China (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597393,,LSDVD103,B001PF73T0,Let's Shop  Rio de Janeiro Brazil (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597409,,LSDVD104,B001PF73TA,Let's Shop  Johannesburg South Africa (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597447,,LSDVD109,B001PF73TK,Let's Shop  Cape Town South Africa (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597454,,LSDVD110,B001PF73TU,Let's Shop  Tokyo Japan (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597478,,LSDVD112,B001PF73U4,Let's Shop  Morocco Africa (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597508,,LSDVD202,B001PF73UE,Let's Shop  Mumbai India (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597515,,LSDVD203,B001PF73UO,Let's Shop  Vancouver & Kelowna (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597522,,LSDVD204,B001PF73UY,Let's Shop  Toronto Canada (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597539,,LSDVD205,B001PF73V8,Let's Shop  Provincetown (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597553,,LSDVD207,B001PF73VI,Let's Shop  Caribbean (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597560,,LSDVD208,B001PF73VS,Let's Shop  Copenhagen (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597607,,LSDVD212,B001PF73W2,Let's Shop  Tahiti (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597614,,LSDVD213,B001PF73WC,Let's Shop  Best Of (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597652,,KTDVDMYAN,B001PF73WM,Karma Trekkers  Myanmar (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597706,,CLPDVDSRI,B001PF73WW,Sri Lanka Royalty Free Stock Footage (REGION 1) (NTSC),£149.99,35%,£97.49,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597898,,MLDVDCANAL,B001PF73XG,Canal Du Midi (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597904,,MLDVDFLA,B001PF73XQ,Florida West Coast (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597911,,MLDVDMURTAL,B001PF73Y0,Murtal Express (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597997,,MLDVDFAC,B001PF73ZE,French Atlantic Coast (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629688817,,7DYDVD166,B001PF73ZO,7 Days  SOUTH KOREA (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629688824,,7DYDVD168,B001PF73ZY,7 Days  INDIA (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629688848,,7DYDVD167,B001PF7408,7 Days  TIBET (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629688893,,BNTDVDSKIES3,B001PF740I,"Northern Skies 3 Nine Spectacular Aerial Joureys across Yorkshire, Cumbria and The North East (REGION 1) (NTSC)",£29.95,35%,£19.47,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629688930,,CDGDVD153,B001PF7412,Cosmos Global Documentaries  TRIPOLITANIA - Libya (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629688947,,CDGDVD154,B001PF741C,Cosmos Global Documentaries  IN THE LAND OF THE HOLY MONKS - Tibet (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629688954,,CDGDVD155,B001PF741M,Cosmos Global Documentaries  IN THE LAND OF THE SILENT DAWN - South Korea (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629688978,,DAVDVDBEA,B001PF741W,Beaches In A Box (REGION 1) (NTSC),£19.98,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629689036,,DAVDVDOTT,B001PF7426,Destination Ottawa (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629689081,,EXTDVD20,B001PF742G,"EXTRAVAGANZA  EMIRATES PALACE - Abu Dhabi, United Arab Emirates (REGION 1) (NTSC)",£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629689098,,EXTDVD21,B001PF742Q,EXTRAVAGANZA  ATLANTIS - Bahamas (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629689142,,GOWDVD121,B001PF7430,Gardens of the World  PARK SANSSOUCI Germany (REGION 1) (NTSC),£19.99,35%,£12.99,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
