Date,Title ID,Title Name,Qty Bought,Discount Code,Channel,Royalty
9/1/2010,2qeDAHSTydo,Nature Parks S1E118 - DEATH VALLEY California,1,,YouTube,1.1
6/1/2010,2RR_5HC9ORk,"Weekend Explorer S1E108 - Carlsbad, New Mexico",1,,YouTube,1.1
9/1/2010,2RR_5HC9ORk,"Weekend Explorer S1E108 - Carlsbad, New Mexico",1,,YouTube,1.1
10/1/2010,2sAy1hhk_uE,The New Great Game S1E102 - Reaping The Whirlwind,1,,YouTube,4.4
12/1/2010,2X3GUA28p-s,Terra Mystica S1E108 - CHINESE WALL China,1,,YouTube,1.1
9/1/2010,2Xmw-c8WC_Q,Ngari S1E1 - Kailash,1,,YouTube,1.1
3/1/2010,3938MmVi_Q0,COLISEUM Italy,1,,YouTube,1.1
8/1/2010,3EQR6FHXmME,Nature Parks S1E106 - ACADIA NATIONAL PARK Maine,1,,YouTube,1.1
9/1/2010,3GlEVgQl8sA,Emperor of the Seas,1,,YouTube,1.1
10/1/2010,3GlEVgQl8sA,Emperor of the Seas,1,,YouTube,1.1
12/1/2010,3GlEVgQl8sA,Emperor of the Seas,1,,YouTube,1.1
11/1/2010,3LwQHjdFnQw,Golden Gate Bridge California,1,,YouTube,1.1
8/1/2010,3Q-BZ9YXjfQ,Dive Travel S1ECosta - Costa Rica,1,,YouTube,1.1
11/1/2010,3XMS2QFMC7U,Mysteries S1E3 - Noah and the Flood,2,,YouTube,1.65
6/1/2010,3-XXfWnAX-A,Bikini Destinations S1EVenus - Venus Model Search,1,,YouTube,1.1
9/1/2010,3-XXfWnAX-A,Bikini Destinations S1EVenus - Venus Model Search,1,,YouTube,1.1
11/1/2010,41SpQmi0sLE,Garden Travels S1E154 - Topiary Ruth Bancroft Garden,1,,YouTube,1.65
3/1/2010,46n5UMiQBDE,Colorado,1,,YouTube,1.1
8/1/2010,46n5UMiQBDE,Equitrekking S1E104 - Colorado,1,,YouTube,1.1
4/1/2010,4o6AUDprcws,Catalina Island,1,,YouTube,1.1
10/1/2010,4o6AUDprcws,Bikini Destinations S1ECata - Catalina Island,1,,YouTube,1.1
12/1/2010,4oaepeogvRo,Atlantis Hotel & Resort Nassau Bahama,1,,YouTube,1.1
6/1/2010,4P82WRzPZ7Y,Great Chefs of Austria S1E103 - Chef Jaroslav Muller Vienna Hotel Sacher,1,,YouTube,1.1
5/1/2010,4PVJbu3Edgg,Travelview International S1E20 - Philippines,2,,YouTube,1.1
11/1/2010,4PVJbu3Edgg,Travelview International S1E17 - Philippines,1,,YouTube,1.1
5/1/2010,4xIXE4ce_GU,FES Morocco,1,,YouTube,1.1
4/1/2010,4yaCJuCq1DU,Wynn Resort Las Vegas,1,,YouTube,1.1
11/1/2010,4YqlmiCPxQA,Weekend Explorer S2E206 - Hong Kong City Of Life,1,,YouTube,1.1
3/1/2010,53xjojwWPiU,Extreme Air,1,,YouTube,1.1
12/1/2010,54DTnu2YXZM,Great Chefs of Austria S1E108 - Chef Helmut Osterreicher Vienna Restaurant Steirereck,1,,YouTube,1.1
3/1/2010,5bPayqL5VxI,Voluntourism,1,,YouTube,1.1
11/1/2010,5nRuYisaozw,Beaches In A Box,1,,YouTube,1.1
10/1/2010,5qwS7HSbppc,Vista Point S1E162 - MEXICO CITY Mexico,1,,YouTube,1.1
7/1/2010,5XgblA8lcmc,The Seasoned Traveler S2E202 - New York State From End to End,1,,YouTube,1.1
11/1/2010,5XgblA8lcmc,The Seasoned Traveler S2E202 - New York State From End to End,1,,YouTube,1.1
